name;sourceAddress;destinationAddress;destinationPort;dhost
Teste;187.34.175.253;4.2.2.2;80;teste.com
Teste;187.34.175.253;46.33.31.254;80;teste.com
Teste;46.181.255.254;46.33.31.254;80;teste.com
Teste;89.31.57.5;107.9.5.85;787;teste.com
Teste;88.80.185.137;94.242.246.24;1843;teste.com
Teste;185.11.180.67;185.100.87.82;671;teste.com
Teste;173.254.216.66;178.17.171.100;1414;teste.com
Teste;37.187.239.8;76.73.134.157;4109;teste.com
Teste;162.247.72.27;24.234.204.70;4836;teste.com
Teste;95.128.43.164;50.78.60.190;1047;teste.com
Teste;37.187.129.166;46.28.70.249;1669;teste.com
Teste;24.255.58.72;108.252.179.0;3493;teste.com
Teste;178.17.174.99;91.219.238.77;619;teste.com
Teste;85.25.103.69;163.172.150.189;2627;teste.com
Teste;66.141.80.193;162.247.73.206;3463;teste.com
Teste;82.211.19.129;72.15.91.97;4377;teste.com
Teste;178.17.170.253;5.9.158.75;118;teste.com
Teste;185.38.14.171;85.248.227.164;4243;teste.com
Teste;5.255.80.27;94.242.246.23;2648;teste.com
Teste;84.53.232.154;86.104.15.15;4434;teste.com
Teste;67.103.64.89;198.167.223.38;2748;teste.com
Teste;68.228.180.208;72.250.168.81;1469;teste.com
Teste;178.175.128.50;217.12.204.104;4656;teste.com
Teste;31.31.72.43;198.96.155.3;1230;teste.com
Teste;185.129.62.63;128.249.96.21;1040;teste.com
Teste;109.163.234.9;96.57.242.22;3921;teste.com
Teste;93.115.83.243;45.79.85.112;1390;teste.com
Teste;104.168.170.220;68.104.150.243;4584;teste.com
Teste;185.100.87.183;76.4.62.48;4096;teste.com
Teste;32.211.249.1;46.183.218.199;3703;teste.com
Teste;68.193.46.87;69.109.130.70;2315;teste.com
Teste;37.187.247.3;46.183.216.169;3588;teste.com
Teste;32.211.249.1;62.212.73.141;4831;teste.com
Teste;195.12.190.38;70.61.64.146;1474;teste.com
Teste;158.130.0.242;185.129.62.63;1700;teste.com
Teste;5.39.76.158;23.254.211.232;2730;teste.com
Teste;71.79.225.72;70.61.64.146;357;teste.com
Teste;50.175.5.250;64.113.32.29;2176;teste.com
Teste;65.19.167.132;70.183.167.247;2693;teste.com
Teste;45.79.85.112;80.67.172.162;3094;teste.com
Teste;91.134.232.63;191.96.249.110;4302;teste.com
Teste;96.57.242.22;185.11.180.67;4943;teste.com
Teste;45.79.85.112;108.196.69.75;1177;teste.com
Teste;98.164.73.251;66.176.111.76;3385;teste.com
Teste;71.188.64.32;207.172.246.83;1779;teste.com
Teste;171.25.193.131;91.219.238.77;4875;teste.com
Teste;171.25.193.132;162.244.25.249;115;teste.com
Teste;93.115.84.124;50.248.4.133;1458;teste.com
Teste;162.229.211.28;69.162.139.9;2463;teste.com
Teste;32.211.249.1;66.176.111.76;1089;teste.com
Teste;93.115.95.206;50.78.60.190;2055;teste.com
Teste;171.25.193.132;91.219.238.77;1795;teste.com
Teste;192.160.102.166;213.109.53.16;3193;teste.com
Teste;66.24.36.162;72.208.148.200;350;teste.com
Teste;197.231.221.211;80.85.84.23;4586;teste.com
Teste;199.68.196.124;162.247.72.217;797;teste.com
Teste;94.242.246.24;185.80.222.78;3287;teste.com
Teste;46.105.100.149;176.10.104.240;2200;teste.com
Teste;93.115.95.201;72.203.120.16;4463;teste.com
Teste;72.190.156.15;197.231.221.211;3608;teste.com
Teste;77.37.218.145;82.163.79.61;1795;teste.com
Teste;46.101.98.208;178.17.163.82;3299;teste.com
Teste;64.137.215.208;97.85.229.94;2512;teste.com
Teste;185.129.62.62;107.211.232.217;1881;teste.com
Teste;176.10.99.200;91.219.237.229;4098;teste.com
Teste;38.81.156.87;193.90.12.88;1226;teste.com
Teste;209.123.234.23;207.244.70.35;4353;teste.com
Teste;209.112.211.23;93.174.90.30;3740;teste.com
Teste;72.208.148.200;185.100.85.101;4689;teste.com
Teste;98.110.83.221;104.231.126.189;1271;teste.com
Teste;97.83.25.198;64.137.242.231;3006;teste.com
Teste;31.31.72.70;71.188.64.32;1443;teste.com
Teste;70.180.57.49;93.115.82.54;326;teste.com
Teste;87.118.115.176;50.248.4.133;1194;teste.com
Teste;76.89.224.180;95.128.43.164;4173;teste.com
Teste;62.210.129.246;62.210.129.246;343;teste.com
Teste;149.56.229.16;109.201.133.100;3564;teste.com
Teste;176.126.252.11;162.247.72.217;2431;teste.com
Teste;193.90.12.88;24.10.27.27;748;teste.com
Teste;73.6.215.240;2.111.70.28;3047;teste.com
Teste;80.85.84.23;178.17.170.201;550;teste.com
Teste;217.170.201.106;178.63.97.34;825;teste.com
Teste;162.194.12.81;73.155.48.184;1840;teste.com
Teste;162.247.72.200;158.130.0.242;1888;teste.com
Teste;185.17.184.228;72.77.189.154;4315;teste.com
Teste;93.115.84.124;82.211.19.129;4666;teste.com
Teste;162.213.3.221;107.136.30.242;1665;teste.com
Teste;46.182.106.190;195.154.90.122;3863;teste.com
Teste;163.172.164.165;45.62.229.165;1119;teste.com
Teste;77.37.218.145;185.100.85.101;2438;teste.com
Teste;12.29.207.58;66.65.109.96;3804;teste.com
Teste;93.115.95.216;185.100.87.44;1029;teste.com
Teste;46.183.216.169;82.221.139.25;3078;teste.com
Teste;62.149.25.15;109.236.90.209;2567;teste.com
Teste;184.89.169.188;178.17.174.99;1466;teste.com
Teste;70.187.44.11;197.231.221.211;1156;teste.com
Teste;46.165.230.5;88.150.157.14;2446;teste.com
Teste;65.19.167.132;91.250.241.241;4630;teste.com
Teste;76.217.150.221;5.196.73.86;231;teste.com
Teste;109.163.234.2;192.160.102.164;716;teste.com
Teste;71.179.245.90;31.31.72.43;2333;teste.com
Teste;37.220.35.202;69.43.66.12;2811;teste.com
Teste;68.104.150.243;176.31.7.241;2746;teste.com
Teste;46.165.230.5;94.100.6.27;2194;teste.com
